scenario	model	held_out_domain	fold_index	train_n	test_n	test_responders	test_non_responders	selected_features	pseudocount	best_params	inner_group_cv_auc	roc_auc	pr_auc	brier	balanced_accuracy	sensitivity	specificity	log_loss
S3_EXCLUDE_LEE_SITES	elastic_net	Lee_PRIMM_NL	4	271	55	33	22	462	1.0642079206864884e-07	"{""C"": 5.0, ""l1_ratio"": 0.75}"	0.5111378319243799	0.44628099173553715	0.5761663630920029	0.4278478009903578	0.45454545454545453	0.6363636363636364	0.2727272727272727	2.060795563020024
S3_EXCLUDE_LEE_SITES	elastic_net	Lee_PRIMM_UK	5	272	54	33	21	442	1.0642079206864884e-07	"{""C"": 0.05, ""l1_ratio"": 0.75}"	0.47669010011649904	0.7012987012987012	0.8253524962506296	0.24265848490754494	0.6168831168831169	0.42424242424242425	0.8095238095238095	0.6784278515313145
S3_EXCLUDE_LEE_SITES	elastic_net	Matson_US	6	288	38	14	24	475	1.0661815682694573e-07	"{""C"": 0.05, ""l1_ratio"": 0.75}"	0.5890043849920045	0.40773809523809523	0.3817243519725828	0.27279583958694237	0.4375	0.5	0.375	0.740708805002635
S3_EXCLUDE_LEE_SITES	elastic_net	Spencer_US	7	229	97	71	26	500	1.0642079206864884e-07	"{""C"": 0.2, ""l1_ratio"": 0.75}"	0.5489770240351501	0.5287107258938245	0.7648488434451157	0.31738227231457006	0.5804442036836404	0.5070422535211268	0.6538461538461539	0.9056668709998089
S3_EXCLUDE_LEE_SITES	ridge	Frankel_US	1	287	39	24	15	466	1.0642079206864884e-07	"{""C"": 10.0}"	0.5577072733823437	0.3888888888888889	0.5647325437368815	0.5540989512423956	0.42083333333333334	0.375	0.4666666666666667	3.875365839872161
S3_EXCLUDE_LEE_SITES	ridge	Gopalakrishnan_US	2	301	25	14	11	482	1.0642079206864884e-07	"{""C"": 0.02}"	0.5173954396622664	0.44805194805194803	0.5467073568557858	0.298574758795726	0.48376623376623373	0.7857142857142857	0.18181818181818182	0.8365799461718744
S3_EXCLUDE_LEE_SITES	ridge	Lee_Leeds	3	308	18	10	8	474	1.0642079206864884e-07	"{""C"": 0.02}"	0.535060963097935	0.5125	0.563531746031746	0.29120629052223274	0.475	0.7	0.25	0.9360712174150186
S3_EXCLUDE_LEE_SITES	ridge	Lee_PRIMM_NL	4	271	55	33	22	462	1.0642079206864884e-07	"{""C"": 10.0}"	0.5001493817421995	0.4435261707988981	0.5944293834224762	0.48322304770432095	0.45454545454545453	0.5454545454545454	0.36363636363636365	2.614221994471819
S3_EXCLUDE_LEE_SITES	ridge	Lee_PRIMM_UK	5	272	54	33	21	442	1.0642079206864884e-07	"{""C"": 0.02}"	0.4987077796296746	0.6378066378066378	0.7850159097393896	0.267823683191304	0.6320346320346321	0.45454545454545453	0.8095238095238095	0.7880809936044844
S3_EXCLUDE_LEE_SITES	ridge	Matson_US	6	288	38	14	24	475	1.0661815682694573e-07	"{""C"": 0.02}"	0.538251081119698	0.35416666666666663	0.30140215506207535	0.3620639048398936	0.43154761904761907	0.5714285714285714	0.2916666666666667	0.9753039855399276
